t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,1.171234,-0.258782,0.000000,0.000000,0.001809,-0.000381,-0.003984,0.000000
0.001000,1.172053,-0.259686,-0.000004,0.000008,0.002987,-0.000613,-0.004984,0.000000
0.002000,1.438890,-0.319659,-0.000000,0.000010,0.004435,-0.000888,-0.005984,0.000000
0.003000,1.694894,-0.376393,0.000012,-0.000004,0.006143,-0.001198,-0.006984,0.000000
0.004000,1.944033,-0.434432,0.000005,0.000005,0.008105,-0.001540,-0.007984,0.000000
0.005000,2.181683,-0.488077,0.000015,-0.000016,0.010310,-0.001907,-0.008984,0.000000
0.006000,2.409664,-0.543357,0.000027,-0.000006,0.012748,-0.002295,-0.009984,0.000000
0.007000,2.633108,-0.598580,0.000013,0.000003,0.015416,-0.002703,-0.010984,0.000000
0.008000,2.845877,-0.652184,0.000014,0.000008,0.018302,-0.003124,-0.011984,0.000000
0.009000,3.053505,-0.704533,-0.000002,-0.000002,0.021403,-0.003554,-0.012984,0.000000
0.010000,3.247744,-0.756194,0.000018,-0.000001,0.024704,-0.003989,-0.013984,0.000000
0.011000,3.437002,-0.807529,0.000023,-0.000007,0.028200,-0.004426,-0.014984,0.000000
0.012000,3.615705,-0.858451,0.000049,-0.000008,0.031883,-0.004861,-0.015984,0.000000
0.013000,3.789632,-0.909095,0.000064,-0.000016,0.035745,-0.005292,-0.016984,0.000000
0.014000,3.957937,-0.960613,0.000071,-0.000018,0.039782,-0.005716,-0.017984,0.000000
0.015000,4.119029,-1.011692,0.000085,-0.000024,0.043987,-0.006131,-0.018984,-0.000000
0.016000,4.269728,-1.063308,0.000124,-0.000016,0.048349,-0.006535,-0.019984,-0.000000
0.017000,4.415679,-1.113762,0.000159,-0.000028,0.052863,-0.006923,-0.020984,-0.000000
0.018000,4.555607,-1.165399,0.000197,-0.000030,0.057522,-0.007296,-0.021984,-0.000000
0.019000,4.692375,-1.215625,0.000223,-0.000060,0.062324,-0.007649,-0.022984,-0.000000
0.020000,4.822210,-1.269284,0.000257,-0.000053,0.067261,-0.007983,-0.023984,-0.000000
0.021000,4.945532,-1.321398,0.000303,-0.000066,0.072326,-0.008296,-0.024983,-0.000000
0.022000,5.064417,-1.375062,0.000346,-0.000070,0.077515,-0.008586,-0.025983,-0.000000
0.023000,5.180497,-1.428054,0.000381,-0.000094,0.082824,-0.008851,-0.026983,-0.000000
0.024000,5.287287,-1.482401,0.000445,-0.000100,0.088244,-0.009091,-0.027982,-0.000000
0.025000,5.392567,-1.536380,0.000495,-0.000126,0.093773,-0.009304,-0.028982,-0.000001
0.026000,5.493710,-1.593050,0.000544,-0.000131,0.099406,-0.009490,-0.029981,-0.000001
0.027000,5.589552,-1.650783,0.000602,-0.000129,0.105138,-0.009650,-0.030981,-0.000001
0.028000,5.677930,-1.707080,0.000687,-0.000145,0.110961,-0.009780,-0.031980,-0.000001
0.029000,5.764657,-1.764180,0.000761,-0.000167,0.116872,-0.009880,-0.032980,-0.000001
0.030000,5.845755,-1.823723,0.000849,-0.000166,0.122866,-0.009950,-0.033979,-0.000001
0.031000,5.922685,-1.882806,0.000945,-0.000178,0.128938,-0.009990,-0.034978,-0.000001
0.032000,5.997861,-1.942720,0.001035,-0.000196,0.135086,-0.009999,-0.035977,-0.000002
0.033000,6.067371,-2.003761,0.001143,-0.000205,0.141303,-0.009976,-0.036976,-0.000002
0.034000,6.135766,-2.065820,0.001241,-0.000218,0.147589,-0.009923,-0.037975,-0.000002
0.035000,6.199390,-2.129449,0.001354,-0.000220,0.153937,-0.009838,-0.038974,-0.000002
0.036000,6.261295,-2.193047,0.001463,-0.000235,0.160346,-0.009722,-0.039973,-0.000002
0.037000,6.320995,-2.257327,0.001574,-0.000255,0.166813,-0.009574,-0.040971,-0.000003
0.038000,6.374993,-2.324319,0.001704,-0.000246,0.173331,-0.009397,-0.041970,-0.000003
0.039000,6.428868,-2.388904,0.001827,-0.000281,0.179901,-0.009185,-0.042968,-0.000003
0.040000,6.476709,-2.458839,0.001971,-0.000257,0.186516,-0.008946,-0.043966,-0.000003
0.041000,6.522044,-2.525406,0.002126,-0.000281,0.193172,-0.008673,-0.044964,-0.000004
0.042000,6.565551,-2.595840,0.002278,-0.000272,0.199867,-0.008372,-0.045962,-0.000004
0.043000,6.606143,-2.664601,0.002444,-0.000290,0.206599,-0.008038,-0.046960,-0.000004
0.044000,6.645248,-2.735603,0.002608,-0.000294,0.213365,-0.007675,-0.047958,-0.000005
0.045000,6.683740,-2.806767,0.002770,-0.000310,0.220164,-0.007281,-0.048955,-0.000005
0.046000,6.717863,-2.879989,0.002949,-0.000306,0.226991,-0.006859,-0.049952,-0.000005
0.047000,6.748552,-2.951386,0.003147,-0.000328,0.233842,-0.006405,-0.050949,-0.000005
0.048000,6.779530,-3.025599,0.003335,-0.000333,0.240718,-0.005923,-0.051946,-0.000006
0.049000,6.805403,-3.099125,0.003551,-0.000345,0.247612,-0.005412,-0.052943,-0.000006
0.050000,6.830401,-3.174831,0.003766,-0.000344,0.254524,-0.004872,-0.053939,-0.000006
0.051000,6.855581,-3.250527,0.003978,-0.000356,0.261452,-0.004305,-0.054936,-0.000007
0.052000,6.879391,-3.327686,0.004193,-0.000361,0.268396,-0.003711,-0.055932,-0.000007
0.053000,6.900858,-3.405665,0.004418,-0.000362,0.275353,-0.003090,-0.056928,-0.000008
0.054000,6.920152,-3.483904,0.004655,-0.000365,0.282319,-0.002444,-0.057923,-0.000008
0.055000,6.935414,-3.562010,0.004916,-0.000372,0.289292,-0.001771,-0.058919,-0.000008
0.056000,6.953524,-3.641012,0.005157,-0.000386,0.296272,-0.001073,-0.059914,-0.000009
0.057000,6.966378,-3.720798,0.005429,-0.000388,0.303254,-0.000350,-0.060909,-0.000009
0.058000,6.980393,-3.802101,0.005692,-0.000386,0.310240,0.000397,-0.061903,-0.000009
0.059000,6.990676,-3.884206,0.005976,-0.000375,0.317224,0.001166,-0.062898,-0.000010
0.060000,6.998203,-3.965029,0.006281,-0.000380,0.324205,0.001960,-0.063892,-0.000010
0.061000,7.008456,-4.048766,0.006566,-0.000368,0.331184,0.002774,-0.064885,-0.000011
0.062000,7.016980,-4.132310,0.006863,-0.000362,0.338160,0.003610,-0.065879,-0.000011
0.063000,7.025465,-4.215309,0.007162,-0.000370,0.345131,0.004467,-0.066872,-0.000011
0.064000,7.030000,-4.299405,0.007485,-0.000364,0.352094,0.005344,-0.067865,-0.000012
0.065000,7.035856,-4.382971,0.007803,-0.000374,0.359050,0.006243,-0.068857,-0.000012
0.066000,7.041117,-4.469846,0.008123,-0.000353,0.365997,0.007159,-0.069850,-0.000012
0.067000,7.043961,-4.555595,0.008461,-0.000344,0.372934,0.008093,-0.070842,-0.000013
0.068000,7.044208,-4.640075,0.008820,-0.000349,0.379857,0.009047,-0.071833,-0.000013
0.069000,7.044037,-4.727732,0.009180,-0.000324,0.386765,0.010017,-0.072824,-0.000013
0.070000,7.044825,-4.812806,0.009541,-0.000336,0.393659,0.011006,-0.073815,-0.000014
0.071000,7.044426,-4.899924,0.009911,-0.000327,0.400539,0.012011,-0.074806,-0.000014
0.072000,7.043863,-4.987209,0.010284,-0.000321,0.407402,0.013031,-0.075796,-0.000014
0.073000,7.043869,-5.075485,0.010656,-0.000310,0.414251,0.014067,-0.076786,-0.000015
0.074000,7.042008,-5.163144,0.011045,-0.000306,0.421082,0.015118,-0.077775,-0.000015
0.075000,7.033885,-5.250479,0.011476,-0.000294,0.427889,0.016183,-0.078764,-0.000015
0.076000,7.030649,-5.338753,0.011881,-0.000287,0.434677,0.017263,-0.079752,-0.000016
0.077000,7.025757,-5.427971,0.012299,-0.000269,0.441444,0.018355,-0.080741,-0.000016
0.078000,7.020503,-5.517416,0.012724,-0.000251,0.448189,0.019459,-0.081728,-0.000016
0.079000,7.012102,-5.605118,0.013175,-0.000247,0.454909,0.020577,-0.082716,-0.000017
0.080000,7.004754,-5.693268,0.013625,-0.000244,0.461605,0.021707,-0.083702,-0.000017
0.081000,6.997575,-5.783023,0.014077,-0.000226,0.468277,0.022848,-0.084689,-0.000017
0.082000,6.986164,-5.871493,0.014561,-0.000213,0.474921,0.024001,-0.085675,-0.000017
0.083000,6.975976,-5.962157,0.015042,-0.000181,0.481537,0.025163,-0.086660,-0.000018
0.084000,6.968462,-6.051585,0.015513,-0.000171,0.488128,0.026334,-0.087645,-0.000018
0.085000,6.956108,-6.141873,0.016018,-0.000140,0.494689,0.027514,-0.088630,-0.000018
0.086000,6.947828,-6.232311,0.016504,-0.000119,0.501224,0.028702,-0.089614,-0.000018
0.087000,6.934219,-6.322226,0.017028,-0.000091,0.507727,0.029898,-0.090597,-0.000018
0.088000,6.921673,-6.412742,0.017552,-0.000059,0.514201,0.031102,-0.091580,-0.000018
0.089000,6.913894,-6.502991,0.018053,-0.000042,0.520648,0.032312,-0.092562,-0.000018
0.090000,6.899390,-6.593307,0.018601,-0.000008,0.527063,0.033528,-0.093544,-0.000018
0.091000,6.888314,-6.684607,0.019133,0.000029,0.533448,0.034749,-0.094526,-0.000018
0.092000,6.876236,-6.774070,0.019680,0.000048,0.539803,0.035977,-0.095507,-0.000018
0.093000,6.862367,-6.864538,0.020242,0.000084,0.546126,0.037210,-0.096487,-0.000018
0.094000,6.850976,-6.955708,0.020794,0.000122,0.552419,0.038446,-0.097467,-0.000018
0.095000,6.838942,-7.045252,0.021359,0.000145,0.558681,0.039687,-0.098446,-0.000018
0.096000,6.827205,-7.135016,0.021927,0.000170,0.564913,0.040932,-0.099424,-0.000018
0.097000,6.810458,-7.224735,0.022532,0.000208,0.571109,0.042181,-0.100402,-0.000018
0.098000,6.793279,-7.313661,0.023149,0.000240,0.577270,0.043434,-0.101380,-0.000018
0.099000,6.779666,-7.403486,0.023749,0.000275,0.583398,0.044689,-0.102357,-0.000017
0.100000,6.764262,-7.492223,0.024367,0.000304,0.589492,0.045948,-0.103333,-0.000017
